kind,domain,name,min_gray,max_gray,height_norm_mean,height_norm_std,grad_p95_um_per_um,grad_p995_um_per_um,curv_power_positive_frac,point_focus_frac_1_5mm,point_focus_frac_1_10mm,line_caustic_frac_1_5mm,median_point_focus_mm,spectral_centroid_norm,best_focus_score,best_z_mm,best_max_to_mean,best_p99_to_mean,best_p999_to_mean,best_bright_frac,best_logamp_grad_energy,amp_mean_at_best,amp_std_at_best,pc1,pc2,caustic_weight,caustic_focus_mm,caustic_radius_um,sampler_profile
reference,voronoi,ref_voronoi,0,198,0.4235881268978119,0.32125887274742126,0.015217320993542671,0.12141261994838715,0.3418831168831169,0.013993506493506494,0.08146103896103896,0.10448051948051948,9.831050872802734,0.027508221994462498,3.828468084335327,20.0,3.828468084335327,2.2735146096004026,2.8947243846250297,0.03655844155844156,0.03967024013400078,0.9103420376777649,0.3902212679386139,,,,,,
reference,mla_3mm,ref_mla_3mm,0,130,0.44468018412590027,0.039470043033361435,0.015642531216144562,0.02968674711883068,0.47899350649350647,0.010357142857142856,0.18237012987012988,0.11496753246753247,7.784632682800293,0.3891215769610451,3.980860471725464,5.0,3.980860471725464,2.672984604502787,3.247818307885377,0.04701298701298701,0.06013338267803192,0.8588637709617615,0.5037484169006348,,,,,,
reference,perlin,ref_perlin,0,255,0.47345075011253357,0.14807237684726715,0.030853016301989555,0.039859265089035034,0.5028571428571429,0.016948051948051948,0.12737012987012988,0.1401948051948052,8.800463676452637,0.07584823371110389,5.105716228485107,15.0,5.105716228485107,2.4569756120009756,2.986939495886483,0.03782467532467532,0.057855844497680664,0.8703676462173462,0.45925551652908325,,,,,,
dataset,mla,mla/0,90,161,0.5516480803489685,0.05676872283220291,0.024540621787309647,0.031724702566862106,0.5228246753246754,0.0637987012987013,0.197987012987013,0.3222077922077922,6.181782245635986,0.3728067761111572,4.315457820892334,10.0,4.315457820892334,2.5112154651594683,3.0977744679997117,0.03808441558441558,0.06105280667543411,0.8702581524848938,0.4697461724281311,2.9593420028686523,-4.1470947265625,,,,
dataset,mla,mla/1,90,199,0.6735777854919434,0.07083457708358765,0.030901066958904266,0.038303572684526443,0.5223701298701299,0.1210064935064935,0.21714285714285714,0.43253246753246755,4.938244819641113,0.3680286986160205,4.0016303062438965,6.0,4.0016303062438965,2.547724000120559,3.1840090094246163,0.03892857142857143,0.06061214953660965,0.872122585773468,0.4774511456489563,0.9558435082435608,-3.933682680130005,,,,
dataset,mla,mla/2,90,255,0.7879006862640381,0.1411972939968109,0.0613519586622715,0.0787142664194107,0.5264935064935065,0.21548701298701298,0.23327922077922078,0.6346428571428572,2.504801034927368,0.36752023554327273,4.439762115478516,6.0,4.439762115478516,2.4965675699616376,3.1660401065692736,0.0387012987012987,0.06055296212434769,0.8747518062591553,0.4731232523918152,-6.726494312286377,-2.7439041137695312,,,,
dataset,mla,mla/3,90,255,0.666157603263855,0.21865083277225494,0.09477735310792923,0.11344458162784576,0.5203246753246753,0.2137012987012987,0.21857142857142858,0.5266558441558442,1.6121290922164917,0.3702591757288755,4.795968055725098,10.0,4.795968055725098,2.591226564319377,3.278683869891331,0.04012987012987013,0.06157722696661949,0.8673991560935974,0.476180762052536,-13.038905143737793,-1.0738818645477295,,,,
dataset,mla,mla/4,90,255,0.759636640548706,0.15942075848579407,0.06920818239450455,0.08592496067285538,0.5227272727272727,0.2217207792207792,0.2327922077922078,0.6378571428571429,2.1994640827178955,0.36838592609409365,4.107666969299316,15.0,4.107666969299316,2.4098615250635667,2.949500369184995,0.03782467532467532,0.05761285126209259,0.8727139830589294,0.45510390400886536,-8.332138061523438,-2.481884002685547,,,,
dataset,mla,mla/5,90,159,0.5425081849098206,0.0558302216231823,0.02430025488138199,0.030610395595431328,0.5261363636363636,0.05688311688311688,0.19574675324675325,0.3110064935064935,6.343886375427246,0.36996260687058113,4.105854511260986,8.0,4.105854511260986,2.471526914613769,3.1219819282797365,0.040551948051948054,0.06117123365402222,0.8735289573669434,0.4691392481327057,3.080347776412964,-4.199162483215332,,,,
dataset,mla,mla/6,90,180,0.6119623184204102,0.06274742633104324,0.02706855908036232,0.033625707030296326,0.5210064935064935,0.0903896103896104,0.20931818181818182,0.38347402597402597,5.53277587890625,0.37300568275878665,3.9767513275146484,12.0,3.9767513275146484,2.4298092617408806,2.993712560843577,0.03792207792207792,0.05864046514034271,0.8752937912940979,0.4570743143558502,1.9712624549865723,-4.157192707061768,,,,
